Order_ID            Customer ID         Total Amount        Phone Number                  Status    
1                                       0.000000            Tue Apr 09 14:52:00                     
1                                       0.000000            Tue Apr 09 15:13:05           2024      
1                                       0.000000            Tue Apr 09 15:13:05           2024      
1                                       0.000000            Tue Apr 09 15:13:05           2024      
1                                       0.000000            Tue Apr 09 15:13:05           2024      
1                                       0.000000            Tue Apr 09 21:03:09           2024      
1                                       0.000000            Tue Apr 09 21:13:03           2024      
1                                       0.000000            Tue Apr 09 21:13:03           2024      
1                                       0.000000            Tue Apr 09 21:13:03           2024      
1                                       0.000000            Wed Apr 10 19:07:36           2024      
1                                       0.000000            Wed Apr 10 19:07:36           2024      
1                                       0.000000            Wed Apr 10 19:07:36           2024      
1                                       0.000000            Wed Apr 10 19:07:36           2024      
1                                       0.000000            Wed Apr 10 20:59:35           2024      
1                                       0.000000            Wed Apr 10 21:10:36           2024      
PRO1                                    0.000000            Wed Apr 10 21:14:58           2024      
PRO3                                    21703680.000000     Wed Apr 10 21:21:38           2024      
PRO3                                    0.000000            Wed Apr 10 21:21:38           2024      
PRO3                                    18000000.000000     Wed Apr 10 21:21:38           2024      
